Date,Rate
2020-06-05,14170.5
2020-06-08,14025.78
2020-06-09,14042.87
2020-06-10,14153.42
2020-06-11,14084.07
2020-06-12,14328.29
2020-06-15,14299.14
2020-06-16,14225.78
2020-06-17,14305.17
2020-06-18,14256.93
2020-06-19,14313.21
2020-06-22,14280.05
2020-06-23,14336.33
2020-06-24,14230.8
2020-06-25,14302.16
2020-06-26,14310.2
2020-06-29,14440.85
2020-06-30,14373.51
2020-07-01,14412.71
2020-07-02,14588.58
2020-07-03,14638.83
2020-07-06,14619.74
2020-07-07,14528.28
2020-07-08,14532.3
2020-07-09,14518.23
2020-07-10,14573.51
2020-07-13,14558.43
2020-07-14,14584.56
2020-07-15,14689.08
2020-07-16,14705.16
2020-07-17,14853.9
2020-07-20,14906.16
2020-07-21,14887.07
2020-07-22,14728.28
2020-07-23,14742.35
2020-07-24,14687.07
2020-07-27,14678.03
2020-07-28,14615.72
2020-07-29,14642.85
2020-07-30,14726.27
2020-08-03,14786.57
2020-08-04,14770.49
2020-08-05,14696.12
2020-08-06,14659.94
2020-08-07,14720.24
2020-08-10,14823.75
2020-08-11,14801.64
2020-08-12,14850.89
2020-08-13,14951.39
2020-08-14,14991.59
2020-08-18,14981.54
2020-08-19,14859.93
2020-08-24,14867.97
2020-08-25,14705.16
2020-08-26,14709.18
2020-08-27,14787.57
2020-08-28,14775.51
2020-08-31,14626.77
2020-09-01,14688.08
2020-09-02,14878.02
2020-09-03,14892.09
2020-09-04,14865.96
2020-09-07,14827.77
2020-09-08,14871.99
2020-09-09,14927.27
2020-09-10,14945.36
2020-09-11,15053.9
2020-09-14,15048.87
2020-09-15,14944.35
2020-09-16,14918.22
2020-09-17,14952.39
2020-09-18,14841.84
2020-09-21,14796.62
2020-09-22,14855.91
2020-09-23,14909.18
2020-09-24,15023.75
2020-09-25,15025.76
2020-09-28,15033.8
2020-09-29,14994.6
2020-09-30,14992.59
2020-10-01,14950.38
2020-10-02,14964.45
2020-10-05,14941.34
2020-10-06,14785.56
2020-10-07,14857.92
2020-10-08,14823.75
2020-10-09,14810.69
2020-10-12,14819.73
2020-10-13,14866.97
2020-10-14,14853.9
2020-10-15,14833.8
2020-10-16,14839.83
2020-10-19,14814.71
2020-10-20,14802.65
2020-10-21,14731.29
2020-10-22,14770.49
2020-10-23,14811.69
2020-10-26,14770.49
2020-10-27,14763.45
2020-10-28,14763.45
2020-10-29,14763.45
2020-10-30,14763.45
2020-11-02,14791.59
2020-11-03,14682.05
2020-11-04,14629.79
2020-11-05,14511.2
2020-11-06,14392.61
2020-11-09,14242.86
2020-11-10,14085.08
2020-11-11,14146.38
2020-11-12,14257.94
2020-11-13,14293.11
2020-11-16,14209.7
2020-11-17,14143.37
2020-11-18,14188.59
2020-11-19,14237.84
2020-11-20,14299.14
2020-11-23,14234.82
2020-11-24,14266.98
2020-11-25,14239.85
2020-11-26,14200.65
2020-11-27,14215.73
2020-11-30,14198.64
2020-12-01,14248.89
2020-12-02,14234.82
2020-12-03,14247.89
2020-12-04,14252.91
2020-12-07,14205.68
2020-12-08,14234.82
2020-12-09,14234.82
2020-12-10,14200.65
2020-12-11,14172.51
2020-12-14,14228.79
2020-12-15,14241.86
2020-12-16,14221.76
2020-12-17,14222.76
2020-12-18,14216.73
2020-12-21,14250.9
2020-12-22,14289.09
2020-12-23,14353.41
2020-12-24,14353.41
2020-12-25,14353.41
2020-12-28,14254.92
2020-12-29,14239.85
2020-12-30,14175.53
2020-12-31,14175.53
2021-01-04,13972.52
2021-01-05,14014.73
2021-01-06,13995.63
2021-01-07,14007.69
2021-01-08,14128.29
2021-01-11,14225.78
2021-01-12,14302.16
2021-01-13,14179.55
2021-01-14,14189.6
2021-01-15,14138.34
2021-01-18,14150.4
2021-01-19,14156.43
2021-01-20,14135.33
2021-01-21,14109.2
2021-01-22,14124.27
2021-01-25,14152.41
2021-01-26,14156.43
2021-01-27,14161.46
2021-01-28,14189.6
2021-01-29,14154.42
2021-02-01,14112.21
2021-02-02,14114.22
2021-02-03,14087.09
2021-02-04,14106.18
2021-02-05,14132.31
2021-02-08,14070.0
2021-02-09,14070.0
2021-02-10,14058.95
2021-02-11,14081.06
2021-02-12,14081.06
2021-02-15,14015.73
2021-02-16,13944.38
2021-02-17,14089.1
2021-02-18,14129.3
2021-02-19,14155.43
2021-02-22,14168.49
2021-02-23,14196.63
2021-02-24,14159.45
2021-02-25,14174.52
2021-02-26,14300.15
2021-03-01,14371.5
2021-03-02,14378.54
2021-03-03,14405.67
2021-03-04,14370.5
2021-03-05,14442.86
2021-03-08,14461.95
2021-03-09,14540.34
2021-03-10,14493.11
2021-03-11,14493.11
2021-03-12,14442.86
2021-03-15,14490.09
2021-03-16,14496.12
2021-03-17,14531.3
2021-03-18,14484.06
2021-03-19,14548.38
2021-03-22,14528.28
2021-03-23,14493.11
2021-03-24,14527.28
2021-03-25,14536.32
2021-03-26,14518.23
2021-03-29,14506.17
2021-03-30,14553.41
2021-03-31,14644.86
2021-04-01,14649.89
2021-04-02,14649.89
2021-04-05,14656.92
2021-04-06,14605.67
2021-04-07,14591.6
2021-04-08,14585.57
2021-04-09,14652.9
2021-04-12,14652.9
2021-04-13,14704.16
2021-04-14,14721.24
2021-04-15,14706.17
2021-04-16,14719.23
2021-04-19,14664.96
2021-04-20,14640.84
2021-04-21,14580.54
2021-04-22,14621.75
2021-04-23,14602.65
2021-04-26,14620.74
2021-04-27,14561.45
2021-04-28,14569.49
2021-04-29,14582.55
2021-04-30,14540.34
2021-05-03,14525.27
2021-05-04,14539.34
2021-05-05,14503.16
2021-05-06,14511.2
2021-05-07,14435.82
2021-05-10,14360.45
2021-05-11,14268.99
2021-05-12,14268.99
2021-05-13,14268.99
2021-05-14,14268.99
2021-05-17,14274.02
2021-05-18,14355.42
2021-05-19,14371.5
2021-05-20,14384.57
2021-05-21,14467.98
2021-05-24,14446.88
2021-05-25,14433.81
2021-05-26,14433.81
2021-05-27,14406.68
2021-05-28,14383.56
2021-05-31,14381.55
2021-06-01,14381.55
2021-06-02,14363.46
2021-06-03,14347.38
2021-06-04,14368.49
2021-06-07,14387.58
2021-06-08,14342.36
2021-06-09,14333.31
2021-06-10,14333.31
2021-06-11,14311.2
2021-06-14,14277.03
2021-06-15,14293.11
2021-06-16,14315.22
2021-06-17,14328.29
2021-06-18,14449.89
2021-06-21,14475.02
2021-06-22,14525.27
2021-06-23,14493.11
2021-06-24,14526.27
2021-06-25,14534.31
2021-06-28,14519.24
2021-06-29,14544.36
2021-06-30,14568.48
2021-07-01,14614.71
2021-07-02,14611.7
2021-07-05,14636.82
2021-07-06,14554.41
2021-07-07,14540.34
2021-07-08,14572.5
2021-07-09,14620.74
2021-07-12,14620.74
2021-07-13,14558.43
2021-07-14,14558.43
2021-07-15,14565.47
2021-07-16,14575.52
2021-07-19,14589.59
2021-07-21,14596.62
2021-07-22,14626.77
2021-07-23,14580.54
2021-07-26,14573.51
2021-07-27,14566.47
2021-07-28,14561.45
2021-07-29,14570.49
2021-07-30,14563.46
2021-08-02,14534.31
2021-08-03,14528.28
2021-08-04,14433.81
2021-08-05,14395.62
2021-08-06,14413.71
2021-08-09,14440.85
2021-08-10,14449.89
2021-08-12,14468.99
2021-08-13,14460.95
2021-08-16,14459.94
2021-08-18,14454.92
2021-08-19,14455.92
2021-08-20,14486.07
2021-08-23,14536.32
2021-08-24,14487.08
2021-08-25,14462.96
2021-08-26,14480.04
2021-08-27,14495.12
2021-08-30,14503.16
2021-08-31,14445.87
2021-09-01,14377.53
2021-09-02,14355.42
2021-09-03,14352.41
2021-09-06,14332.31
2021-09-07,14310.2
2021-09-08,14265.98
2021-09-09,14337.33
2021-09-10,14343.36
2021-09-13,14296.13
2021-09-14,14331.3
2021-09-15,14328.29
2021-09-16,14323.26
2021-09-17,14309.19
2021-09-20,14304.17
2021-09-21,14322.26
2021-09-22,14315.22
2021-09-23,14320.25
2021-09-24,14327.28
2021-09-27,14321.25
2021-09-28,14329.29
2021-09-29,14340.35
2021-09-30,14378.54
2021-10-01,14392.61
2021-10-04,14386.58
2021-10-05,14347.38
2021-10-06,14331.3
2021-10-07,14316.23
2021-10-08,14309.19
2021-10-11,14296.13
2021-10-12,14281.05
2021-10-13,14288.09
2021-10-14,14292.11
2021-10-15,14225.78
2021-10-18,14154.42
2021-10-19,14166.48
2021-10-21,14150.4
2021-10-22,14203.67
2021-10-25,14232.81
2021-10-26,14253.92
2021-10-27,14235.83
2021-10-28,14254.92
2021-10-29,14270.0
2021-11-01,14241.86
2021-11-02,14306.18
2021-11-03,14332.31
2021-11-04,14372.51
2021-11-05,14398.64
2021-11-08,14445.87
2021-11-09,14339.34
2021-11-10,14304.17
2021-11-11,14324.27
2021-11-12,14359.44
2021-11-15,14314.22
2021-11-16,14277.03
2021-11-17,14282.06
2021-11-18,14330.3
2021-11-19,14302.16
2021-11-22,14308.19
2021-11-23,14326.28
2021-11-24,14343.36
2021-11-25,14343.36
2021-11-26,14351.4
2021-11-29,14351.4
2021-11-30,14411.7
2021-12-01,14391.6
2021-12-02,14424.77
2021-12-03,14449.89
2021-12-06,14480.04
2021-12-07,14513.21
2021-12-08,14480.04
2021-12-09,14419.74
2021-12-10,14422.76
2021-12-13,14449.89
2021-12-14,14417.73
2021-12-15,14419.74
2021-12-16,14408.69
2021-12-17,14414.72
2021-12-20,14414.72
2021-12-21,14455.92
2021-12-22,14420.75
2021-12-23,14335.32
2021-12-24,14322.26
2021-12-27,14290.1
2021-12-28,14296.13
2021-12-29,14308.19
2021-12-30,14336.33
2021-12-31,14340.35
2022-01-03,14349.39
2022-01-04,14341.35
2022-01-05,14381.55
2022-01-06,14436.83
2022-01-07,14467.98
2022-01-10,14431.8
2022-01-11,14394.62
2022-01-12,14370.5
2022-01-13,14373.51
2022-01-14,14382.56
2022-01-17,14381.55
2022-01-18,14394.62
2022-01-19,14396.63
2022-01-20,14441.85
2022-01-21,14425.77
2022-01-24,14418.74
2022-01-25,14398.64
2022-01-26,14429.79
2022-01-27,14417.73
2022-01-28,14456.93
2022-01-31,14452.91
2022-02-02,14463.96
2022-02-03,14418.74
2022-02-04,14452.91
2022-02-07,14447.88
2022-02-08,14476.02
2022-02-09,14456.93
2022-02-10,14437.83
2022-02-11,14415.72
2022-02-14,14430.8
2022-02-15,14409.69
2022-02-16,14363.46
2022-02-17,14349.39
2022-02-18,14372.51
2022-02-21,14410.7
2022-02-22,14400.65
2022-02-23,14433.81
2022-02-24,14426.78
2022-02-25,14442.86
2022-03-01,14440.85
2022-03-02,14421.75
2022-03-04,14444.87
2022-03-07,14454.92
2022-03-08,14483.06
2022-03-09,14465.97
2022-03-10,14442.86
2022-03-11,14369.49
2022-03-14,14377.53
2022-03-15,14399.64
2022-03-16,14392.61
2022-03-17,14382.56
2022-03-18,14361.45
2022-03-21,14411.7
2022-03-22,14412.71
2022-03-23,14429.79
2022-03-24,14422.76
2022-03-25,14432.81
2022-03-28,14412.71
2022-03-29,14431.8
2022-03-30,14435.82
2022-03-31,14420.75
2022-04-01,14428.79
2022-04-04,14435.82
2022-04-05,14433.81
2022-04-06,14419.74
2022-04-07,14435.82
2022-04-08,14430.8
2022-04-11,14436.83
2022-04-12,14441.85
2022-04-13,14435.82
2022-04-14,14430.8
2022-04-18,14420.75
2022-04-19,14427.78
2022-04-20,14418.74
2022-04-21,14422.76
2022-04-22,14419.74
2022-04-25,14432.81
2022-04-26,14524.26
2022-04-27,14484.06
2022-04-28,14490.09
2022-05-09,14552.4
2022-05-10,14606.67
