Date,Close
1/2/2019,8450
1/3/2019,7225
1/4/2019,7275
1/7/2019,7375
1/8/2019,7025
1/9/2019,6550
1/10/2019,6800
1/11/2019,8150
1/14/2019,8150
1/15/2019,8250
1/16/2019,8275
1/17/2019,8475
1/18/2019,8325
1/21/2019,8200
1/22/2019,8175
1/23/2019,8425
1/24/2019,8425
1/25/2019,8375
1/28/2019,8375
1/29/2019,8350
1/30/2019,8450
1/31/2019,8200
2/1/2019,7450
2/4/2019,7475
2/6/2019,7300
2/7/2019,7075
2/8/2019,6550
2/11/2019,6450
2/12/2019,6650
2/13/2019,7675
2/14/2019,7600
2/15/2019,7600
2/18/2019,7875
2/19/2019,7775
2/20/2019,7775
2/21/2019,7700
2/22/2019,7625
2/25/2019,7650
2/26/2019,7600
2/27/2019,7600
2/28/2019,7150
3/1/2019,8375
3/4/2019,7425
3/5/2019,7275
3/6/2019,6475
3/8/2019,6475
3/11/2019,6525
3/12/2019,7100
3/13/2019,7275
3/14/2019,7225
3/15/2019,7400
3/18/2019,7300
3/19/2019,7250
3/20/2019,7250
3/21/2019,7250
3/22/2019,7050
3/25/2019,7150
3/26/2019,7100
3/27/2019,7125
3/28/2019,7325
3/29/2019,8350
4/1/2019,8200
4/2/2019,7150
4/4/2019,7575
4/5/2019,7250
4/8/2019,6500
4/9/2019,6425
4/10/2019,6700
4/11/2019,6550
4/12/2019,7600
4/15/2019,7750
4/16/2019,7850
4/18/2019,7525
4/22/2019,7650
4/23/2019,7650
4/24/2019,7550
4/25/2019,7650
4/26/2019,7600
4/29/2019,7625
4/30/2019,7300
5/2/2019,7600
5/3/2019,7150
5/6/2019,6925
5/7/2019,6700
5/8/2019,6900
5/9/2019,6700
5/10/2019,7025
5/13/2019,7000
5/14/2019,6950
5/15/2019,6775
5/16/2019,6700
5/17/2019,6900
5/20/2019,7000
5/21/2019,7000
5/22/2019,7100
5/23/2019,7175
5/24/2019,7125
5/27/2019,7075
5/28/2019,7200
5/29/2019,7450
5/31/2019,8225
6/10/2019,7325
6/11/2019,7425
6/12/2019,6750
6/13/2019,6750
6/14/2019,6850
6/17/2019,6775
6/18/2019,7500
6/19/2019,7425
6/20/2019,7375
6/21/2019,7500
6/24/2019,7650
6/25/2019,7600
6/26/2019,7450
6/27/2019,7350
6/28/2019,7350
7/1/2019,7250
7/2/2019,7375
7/3/2019,7450
7/4/2019,8150
7/5/2019,8200
7/8/2019,7525
7/9/2019,6725
7/10/2019,6325
7/11/2019,6725
7/12/2019,7425
7/15/2019,7450
7/16/2019,7100
7/17/2019,7150
7/18/2019,7100
7/19/2019,7100
7/22/2019,7150
7/23/2019,7175
7/24/2019,7300
7/25/2019,7075
7/26/2019,7175
7/29/2019,7275
7/30/2019,7000
7/31/2019,8175
8/1/2019,8150
8/2/2019,7150
8/5/2019,7550
8/6/2019,7400
8/7/2019,7300
8/8/2019,6900
8/9/2019,6350
8/12/2019,6625
8/13/2019,6675
8/14/2019,6675
8/15/2019,6525
8/16/2019,6500
8/19/2019,6425
8/20/2019,6425
8/21/2019,6350
8/22/2019,6325
8/23/2019,6575
8/26/2019,6575
8/27/2019,6525
8/28/2019,6450
8/29/2019,6425
8/30/2019,6675
9/2/2019,8200
9/3/2019,7700
9/4/2019,7150
9/5/2019,7275
9/6/2019,6775
9/9/2019,6650
9/10/2019,6275
9/11/2019,6675
9/12/2019,6750
9/13/2019,6700
9/16/2019,6475
9/17/2019,6700
9/18/2019,6600
9/19/2019,6575
9/20/2019,6625
9/23/2019,6475
9/24/2019,6500
9/25/2019,6700
9/26/2019,6650
